"","logFC","logCPM","LR","PValue","FDR"
"YJR024C_mRNA",-0.114393000637632,3.93845967489197,0.250137818182637,0.616978052158281,0.716424169899198
"YEL029C_mRNA",0.148164565748946,4.2275230117551,0.250003787057997,0.617072410880975,0.716424169899198
"YIL039W_mRNA",0.115207721362768,5.09216176321056,0.249822630112397,0.61719999672619,0.716428292019789
"YGL236C_mRNA",0.127883592673611,4.00861266268613,0.248314803867572,0.618264183305987,0.717519373673976
"YER029C_mRNA",0.170382081153342,5.2484626998429,0.247334203074239,0.618958433529913,0.718180777836234
"YJR017C_mRNA",-0.136297471398237,3.27229656069305,0.246944676945288,0.619234688451607,0.718357011547798
"YHR144C_mRNA",0.22948665792041,2.0657485747868,0.246474578728922,0.619568447742105,0.718599870312931
"YOR170W_mRNA",-0.148742847852937,3.54516987736789,0.246064313343533,0.619860051414768,0.718793747635355
"YOR326W_mRNA",0.0894375438228853,7.33567380906519,0.245245931422025,0.620442637391837,0.719324904370785
"YOL032W_mRNA",0.128691845582029,5.89451117716286,0.244821743462816,0.620745082801997,0.719453302460589
"YLR092W_mRNA",0.122463452616458,6.97354769834062,0.244659349560131,0.620860955760253,0.719453302460589
"YDR076W_mRNA",-0.095906704622413,4.01557064217389,0.2445667322305,0.620927062459494,0.719453302460589
"YDL129W_mRNA",-0.164863584037037,3.41288313421869,0.244251858466258,0.621151923856721,0.719569497030971
"YNL130C_mRNA",-0.104344024687167,5.67656425046581,0.244055334799062,0.621292359094145,0.719587861665887
"YHR006W_mRNA",0.0921390124173749,6.17160289929224,0.243197753274749,0.621906008822797,0.72004916866422
"YPL234C_mRNA",-0.093367348082666,6.72618451784279,0.243150338358676,0.621939976188676,0.72004916866422
"YAL016W_mRNA",-0.102249714688154,6.7329874780789,0.242809799060266,0.622184054706558,0.720187394786589
"YBR243C_mRNA",0.110347651796126,3.64114803179737,0.242619480739307,0.622320556347602,0.720201068616259
"YDR176W_mRNA",-0.160423490984227,5.35401575622788,0.241695354658592,0.622984312902273,0.720691503740521
"YMR119W-A_mRNA",0.179834284235404,3.50096741472121,0.241682044144629,0.622993884725835,0.720691503740521
"YBR234C_mRNA",-0.0952129042230523,6.03315040014337,0.241507013637812,0.62311978268543,0.720692804323396
"YGR100W_mRNA",-0.101679560260188,5.75821785179487,0.240828164355211,0.623608609711187,0.721113779718081
"YOL088C_mRNA",-0.0907590885319963,4.37742665845232,0.240503988220627,0.623842344695954,0.721239668327428
"YOR138C_mRNA",-0.0998039934605214,5.38565369982265,0.239464630193535,0.624593054670376,0.721963074599978
